	feature_cluster	feature_fraction
CD4+ CM maturity and PD-1-TIGIT- expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.8220943374994213
CD4+ CM maturity and PD-1+TIGIT+ expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.6539044665786089
CD4+ CM maturity and PD-1+TIGIT- expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.5984502513445001
CD4+ CM maturity and PD1+ expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.6296007591844759
CD4+ CM maturity and HLA-DR+ expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.5670780695427068
CD4+ CM maturity and CD39+ expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.7786847362852445
CD4+ CM maturity and CD226+ expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.6851382470213643
CD4+ CM maturity and None expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.7158143730610705
CD4+ None maturity and CD39+ expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.6822739441660632
CD4+ None maturity and CD226+ expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.6322243142721069
Treg_Th22 None maturity and None expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.7963414152300664
Treg_Th2 None maturity and None expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.9665159309989726
Treg_Th17 None maturity and None expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.8833883957504699
Treg None maturity and None expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	1.0
Th22 TM maturity and None expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.665055656395857
Th2 TM maturity and None expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.7078109386806426
Th17.1 TM maturity and None expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.5210506018380703
Th17 TM maturity and None expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.6702989011998405
Th1 TM maturity and None expression	Th1 TE, CD4+ TE, CD8+ CM TE EMTM PD-1+	0.7028583623152309
Th22 None maturity and None expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.6427270087941406
Th2 None maturity and None expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.7668701619898574
Th17.1 None maturity and None expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.5270941081224423
Th17 None maturity and None expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.6953678829797875
Th1 None maturity and None expression	Th1 TE, CD4+ TE, CD8+ CM TE EMTM PD-1+	0.5703097508583449
Tfh None maturity and None expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.6732370545760771
Th1 TE maturity and None expression	Th1 TE, CD4+ TE, CD8+ CM TE EMTM PD-1+	1.0
Th2 NV maturity and None expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	1.0
Th1 NV maturity and None expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	1.0
Th2 CM maturity and None expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.9542273191764585
Th17 CM maturity and None expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.7457280001368667
Th1 CM maturity and None expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.7064004575771212
CD8+ TM maturity and None expression	Th1 TE, CD4+ TE, CD8+ CM TE EMTM PD-1+	0.7014202179725394
CD4+ TM maturity and None expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.5878712414798809
active_t_cells	Th1 TE, CD4+ TE, CD8+ CM TE EMTM PD-1+	0.5533900032832424
supressed_t_cells	Th1 TE, CD4+ TE, CD8+ CM TE EMTM PD-1+	0.5109240129697197
cd4_t_cells	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	1.0
cd8_t_cells	Th1 TE, CD4+ TE, CD8+ CM TE EMTM PD-1+	0.7585966410880541
th17	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.7343117634475541
active_to_suppressed_t_cells	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.7062254081605372
cd4_to_cd8_t_cells	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.777070776666452
th17_to_cd4_t_cells	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.7535332337576385
